Host 1,Title (copy for cal),Location,MC
Nate Silver,Nate Silver Fireside Chat,E - Main Session,Austin Chen
David Chee,Poker Tournament Finals,A - Board Gaming,
Ozzie Gooen,Functions as Forecasts,E - Main Session,Austin Chen
James Grugett,Prediction Markets Evangelism,E - Main Session,Stephen Grugett
Robin Hanson,Robin Hanson Office Hours,E - Floor 2 (Side Sessions),
Jeremiah Johnson,Why Prediction Markets Struggle with Politics,E - Main Session,"Steven Bonnell II,Stephen Grugett"
Robin Hanson,Revolution Strategies,The Park,David Chee
"Austin Chen,James Grugett,Stephen Grugett",Manifold Founders Panel,The Park,David Chee
,Saturday Dinner,Telegraph Area,
,Sunday Dinner,Telegraph Area,
,Saturday Lunch,Telegraph Area,
,Sunday Lunch,Telegraph Area,
,VIP Dinner,Ethiopia Restaurant,
Stephen Grugett,Build a Trading Bot Workshop,E - Main Session,
"Simone Collins,Byrne Hobart,Zvi Mowshowitz,Malcolm Collins",Parenting & Pronatalism,E - Main Session,Rachel Weinberg
Johannes Treutlein,Performative prediction,B - Attic,
Byrne Hobart,Prediction Markets vs Financial Markets,E - Main Session,Stephen Grugett
Dylan Matthews,Prediction Markets in Journalism,E - Main Session,Nathan Young
Austin Chen,Festival Kickoff,The Park,
Steven Bonnell II,Destiny vs Eliezer Debate,The Park,"David Chee,Aella,Nathan Young"
Tarek Mansour,Legalizing Prediction Markets,E - Main Session,Pratik Chougule
David Chee,Moderating the First User Generated Market Platform,E - Main Session,
,Friday Dinner,Telegraph Area,
Aella,Descent into Dance Hell,B - Ground floor,
Gavriel Kleinwaks,Improving Biomedical Research,E - Main Session,
Ian Philips ,Karaoke + Live Betting,B - Ground floor,
,Night Market & Fair,Central Courtyard,
Louis Clouatre-Latraverse,Prediction Markets Applied to Finance,E - Main Session,Stephen Grugett
Aella,Spicy Live Polling,The Park,"David Chee,Aaron Silverbook"
"Douglas Campbell,Abhishek Kylasa",Predicting War Markets,E - Main Session,Nathan Young
Isabel Juniewicz,Improving AI Benchmarks,E - Main Session,"Stephen Grugett,Nathan Young"
Emmett Shear,"The Future of Trust and Evidence, in the Age of AI",E - Main Session,Rob Miles
"Simone Collins,Malcolm Collins",Reducing Bias in Education with Prediction Markets,E - Main Session,Rachel Weinberg
Shayne Coplan,Polymarket Walk & Talk,The Gardens,
Patrick Mckenzie,Patrick Mckenzie Fireside Chat,E - Main Session,Zvi Mowshowitz
,Festival doors open,Telegraph Area,
"Scott Alexander,Shayne Coplan,Zvi Mowshowitz",Polymarket and Making Prediction Markets Mainstream,E - Main Session,Pratik Chougule
Ian Philips ,Rise into Rave Heaven,B - Ground floor,
Jonathan Anomaly,Genetic Enhancement: Prediction Markets for Future People,E - Main Session,Austin Chen
Eliezer Yudkowsky,Every platform for debating predictions is terrible; thoughts on fixing them,B - Attic,
Pratik Chougule,Political Betting Regulation: Pathways to Liberalization,E - Main Session,Douglas Campbell
,Telegraph Area,,
,-- LEGEND --,,
,E - Main Session,,
,A - Board Gaming,,
,B - Ground floor,,
,The Park,,
,E - Floor 2 (Side Sessions),,
,The Gardens,,
,Central courtyard,,
,B - Attic,,
Matthew Barnett,Biggest questions in AI Forecasting,E - Main Session,
Austin Chen,Closing Ceremony,The Park,
